Designator,Mid X,Mid Y,Rotation,Layer
C1,114.025,-98.65,180.0,top
C10,127.5,-77.975,270.0,bottom
C11,131.975,-81.25,180.0,bottom
C12,110.325,-74.795,90.0,top
C13,110.325,-78.125,270.0,top
C14,117.5,-59.25,90.0,top
C15,110.725,-62.75,180.0,top
C16,126.225,-63.15,0.0,top
C17,131.225,-61.65,0.0,top
C18,144.35,-69.225,270.0,top
C19,145.85,-74.225,270.0,top
C2,111.725,-87.35,180.0,top
C20,143.775,-92.35,180.0,top
C21,138.775,-94.35,180.0,top
C3,140.175,-74.5,270.0,top
C4,127.0,-86.675,180.0,top
C5,133.5,-86.675,180.0,top
C6,138.675,-74.5,270.0,top
C7,126.5,-69.325,0.0,top
C8,121.325,-80.0,90.0,top
C9,119.825,-80.0,90.0,top
D1,102.5,-107.0,180.0,top
D2,107.5,-107.0,180.0,top
D3,112.5,-107.0,180.0,top
ENC1,127.0,-53.0,180.0,top
ENC2,155.0,-70.0,90.0,top
ENC3,143.0,-103.0,0.0,top
J1,99.525,-95.5,90.0,top
J2,101.0,-72.08,0.0,top
J3,100.0,-59.25,270.0,top
MD1,145.5,-53.0,180.0,top
MD2,155.0,-88.5,90.0,top
MD3,124.5,-103.0,0.0,top
R1,102.5,-104.0,180.0,top
R10,132.0,-59.325,270.0,top
R11,143.0,-59.0,270.0,top
R12,145.5,-59.0,90.0,top
R13,149.0,-69.175,90.0,top
R14,146.675,-70.0,180.0,top
R15,150.5,-74.175,90.0,top
R16,148.175,-75.0,180.0,top
R17,148.175,-86.0,180.0,top
R18,148.175,-88.5,0.0,top
R19,143.825,-97.0,0.0,top
R2,107.5,-104.0,180.0,top
R20,143.0,-94.675,90.0,top
R21,138.825,-99.0,0.0,top
R22,138.0,-96.675,90.0,top
R23,127.0,-97.0,90.0,top
R24,124.5,-97.0,270.0,top
R3,112.5,-104.0,180.0,top
R4,129.075,-74.8,0.0,bottom
R5,116.5,-66.5,0.0,top
R6,116.5,-68.0,0.0,top
R7,126.175,-58.5,180.0,top
R8,127.0,-60.825,270.0,top
R9,131.175,-57.0,180.0,top
SW1,95.75,-83.75,180.0,top
U1,112.5,-93.0,270.0,top
U2,130.0,-78.0,270.0,top
U3,112.5,-59.25,90.0,top
Y1,114.325,-76.46,90.0,top
