Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
"C10, C14, C15, C4, C5, C6, C7, C8",0603,8,0.1uF,
"C11, C3",0603,2,4.7uF,
"C12, C13",0603,2,15pF,
"C16, C17, C18, C19, C20, C21",0603,6,0.01uF,
C2,0603,1,22uF,
C9,0603,1,1uF,
"D1, D2, D3",0603,3,LED,
D4,US2H,1,D_Schottky,
ENC1,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,1,CH1_ENC,
ENC2,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,1,CH2_ENC,
ENC3,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,1,CH3_ENC,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,電源コネクタ,
J2,PinSocket_1x05_P2.54mm_Horizontal,1,デバッグ端子,
J3,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,CANコネクタ,
MD1,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,CH1_MOTOR,
MD2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,CH2_MOTOR,
MD3,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,CH3_MOTOR,
"R1, R10, R11, R12, R14, R16, R17, R18, R2, R20, R22, R23, R24, R3, R5, R6, R8",0603,17,1kΩ,
"R13, R15, R19, R21, R4, R7, R9",0603,7,10kΩ,
SW1,SW_PUSH_6mm_H5mm,1,リセットスイッチ,
U1,SOT-223-3_TabPin2,1,AZ1117-3.3,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
